"Period","Actual_Revenue","Forecast_Revenue","Lower_95","Upper_95"
"Q1 '19 A",716.655527,988.569782885793,112.999046502908,1864.14051926868
"Q2 '19 A",748.34080890566,891.111421765748,-198.605050096266,1980.82789362776
"Q3 '19 A",711.733618867925,881.905586149478,-418.280351553359,2182.09152385231
"Q4 '19 A",728.658140075472,856.61777313521,-654.324560890887,2367.56010716131
"Q1 '20 A",678.333937660377,1066.5817644097,-657.544150459725,2790.70767927912
"Q2 '20 A",325.141894358491,969.123403289652,-971.482561538335,2909.72936811764
