"Period","Actual_OpIncome","Forecast_OpIncome","Lower_95","Upper_95"
"Q1 '19 A",121.53251345283,252.988575454123,99.5402330252006,406.436917883045
"Q2 '19 A",161.601427471698,274.91303139325,40.9384915352025,508.887571251298
"Q3 '19 A",115.721110679245,283.093334956197,-24.5978736469443,590.784543559338
"Q4 '19 A",109.099072792453,270.124697505556,-109.890908647735,650.140303658846
"Q1 '20 A",96.4857561886792,330.606298354659,-122.208986241853,783.421582951171
"Q2 '20 A",-109.239187018868,352.530754293787,-174.369887666685,879.431396254258
